"id","category","r","theta"
"SLM:000000413","lipid",18.54891047,2.792157969
"SLM:000000285","lipid",18.9967319,2.793255756
"SLM:000000261","lipid",18.5838765,2.776878547
"SLM:000000239","lipid",18.687809,0.789403418
"SLM:000000470","lipid",19.19592915,0.789171599
"SLM:000000353","lipid",19.2585314,0.789072201
"SLM:000000904","lipid",19.19299281,1.305424964
"SLM:000001000","lipid",19.10034273,1.203105346
"SLM:000000287","lipid",19.10744246,0.593115789
"SLM:000000324","lipid",18.55256417,3.755141285
"SLM:000000240","lipid",18.95920298,1.482091548
"SLM:000049329","lipid",19.05515662,2.811999093
"SLM:000000336","lipid",19.03996416,3.27127088
"SLM:000501063","lipid",19.27293286,3.609774563
"SLM:000000562","lipid",19.05852156,3.6724988
"SLM:000000448","lipid",19.09319275,2.798961818
"SLM:000000401","lipid",18.9721892,2.770693095
"SLM:000000809","lipid",19.22618124,2.943505656
"SLM:000063944","lipid",19.21162437,3.085028165
"SLM:000391333","lipid",19.32572329,2.795249408
"SLM:000391358","lipid",19.32579115,2.795253475
"SLM:000063738","lipid",19.41942676,1.633050743
"SLM:000391360","lipid",19.325859,2.795257532
"SLM:000063894","lipid",19.41955044,1.633097113
"SLM:000087702","lipid",19.2117763,3.091784611
"SLM:000099595","lipid",19.23764794,4.87473905
"SLM:000391304","lipid",19.32592684,2.7952616
"SLM:000392285","lipid",19.32599468,2.795265668
"SLM:000063684","lipid",19.21185225,3.098583456
"SLM:000056542","lipid",19.41973593,1.633197292
"SLM:000500355","lipid",19.3789214,1.5650513
"SLM:000099465","lipid",19.23772197,0.691615688
"SLM:000093487","lipid",19.37898577,1.564332159
"SLM:000392277","lipid",19.33194681,2.795287373
"SLM:000099660","lipid",19.20827613,3.088148903
"SLM:000064223","lipid",19.41979775,1.633006172
"SLM:000392284","lipid",19.33913713,2.795252378
"SLM:000074015","lipid",19.18069144,2.943446906
"SLM:000390836","lipid",19.2818306,2.795306965
"SLM:000391275","lipid",19.33920409,2.795256386
"SLM:000308352","lipid",19.37905014,1.565461295
"SLM:000391383","lipid",19.33927104,2.795260407
"SLM:000074014","lipid",19.20865717,3.096454162
"SLM:000390024","lipid",19.31870986,2.145067213
"SLM:000093162","lipid",19.41992139,1.633297371
"SLM:000309021","lipid",19.20873336,3.089998553
"SLM:000390811","lipid",19.33933799,2.795264412
"SLM:000308354","lipid",19.37911451,1.564488324
"SLM:000001044","lipid",19.31877818,2.144475599
"SLM:000089046","lipid",19.20880955,3.094102901
"SLM:000500354","lipid",19.37917887,1.565234656
"SLM:000093292","lipid",19.20819991,3.094909024
"SLM:000087703","lipid",19.20926654,3.087807221
"SLM:000067949","lipid",19.20934269,3.096884599
"SLM:000067850","lipid",19.20979943,3.095639242
"SLM:000089111","lipid",19.20987554,3.088663619
"SLM:000092121","lipid",19.20039454,3.089873476
"SLM:000063739","lipid",19.19985666,3.08942212
"SLM:000093227","lipid",19.42004501,1.633160123
"SLM:000063992","lipid",19.19962605,3.089783028
"SLM:000391901","lipid",19.33940494,2.795268423
"SLM:000092122","lipid",19.42016861,1.632961793
"SLM:000073809","lipid",19.17203787,0.136665012
"SLM:000309020","lipid",19.4202922,1.633558708
"SLM:000390019","lipid",19.31884651,2.144154835
"SLM:000390018","lipid",19.31891482,2.14464635
"SLM:000067900","lipid",19.37924322,1.56559975
"SLM:000067701","lipid",19.20031772,3.088320476
"SLM:000391886","lipid",19.33947188,2.795272442
"SLM:000500363","lipid",19.42035399,1.633245378
"SLM:000391893","lipid",19.33953881,2.795276441
"SLM:000067858","lipid",19.29394717,1.481115461
"SLM:000056519","lipid",19.20024089,3.090418308
"SLM:000392021","lipid",19.33960575,2.795280463
"SLM:000393685","lipid",19.31939291,1.176630432
"SLM:000067702","lipid",19.29373708,1.48192283
"SLM:000057200","lipid",19.29275606,1.48233599
"SLM:000094440","lipid",19.33772998,0.79005235
"SLM:000067711","lipid",19.3384673,0.790079427
"SLM:000056888","lipid",19.42294574,1.633117481
"SLM:000392029","lipid",19.33967267,2.79528445
"SLM:000067908","lipid",19.29345688,1.482466379
"SLM:000308871","lipid",19.19970293,3.089586583
"SLM:000067694","lipid",19.237796,2.811896508
"SLM:000093992","lipid",19.33853431,0.79009408
"SLM:000067747","lipid",19.19854919,3.089945582
"SLM:000309048","lipid",19.37937192,1.564734889
"SLM:000094700","lipid",19.3386013,0.790108199
"SLM:000099791","lipid",19.37885702,1.564878051
"SLM:000391875","lipid",19.31932463,1.174791881
"SLM:000391900","lipid",19.31925634,1.176337325
"SLM:000392028","lipid",19.33907017,2.795248367
"SLM:000092252","lipid",19.19924159,3.090080361
"SLM:000087701","lipid",19.2025432,3.095316946
"SLM:000094830","lipid",19.20292641,3.095928953
"SLM:000093998","lipid",19.20246655,3.091642599
"SLM:000394560","lipid",19.31918804,1.177342272
"SLM:000093996","lipid",19.3386683,0.790056882
"SLM:000393373","lipid",19.3426131,3.012893578
"SLM:000020026","lipid",19.34281327,2.943376066
"SLM:000056543","lipid",19.42300736,1.632072851
"SLM:000089501","lipid",19.42306899,1.632492604
"SLM:000105176","lipid",19.29967291,3.083941833
"SLM:000393692","lipid",19.31911975,1.175640756
"SLM:000055202","lipid",19.33873529,0.790070764
"SLM:000393365","lipid",19.34733989,0.404402072
"SLM:000394333","lipid",19.31905144,1.176507658
"SLM:000500346","lipid",19.41682595,0.632477425
"SLM:000308993","lipid",19.2036924,3.090329162
"SLM:000056552","lipid",19.20376896,3.092180106
"SLM:000067695","lipid",19.17401111,0.79007521
"SLM:000067867","lipid",19.29436723,1.481513409
"SLM:000088981","lipid",19.20415171,3.087337207
"SLM:000063731","lipid",19.17448412,0.461922837
"SLM:000067703","lipid",19.33880227,0.790085566
"SLM:000063951","lipid",19.42325384,1.633995367
"SLM:000067907","lipid",19.12116164,1.482217801
"SLM:000063683","lipid",19.20093214,3.089260226
"SLM:000063791","lipid",19.42343865,1.634156035
"SLM:000390551","lipid",19.31864153,1.176784192
"SLM:000067693","lipid",19.33886925,0.790100288
"SLM:000393358","lipid",19.34740631,0.404856428
"SLM:000095350","lipid",19.37950061,1.564254178
"SLM:000500288","lipid",19.26784382,1.564712153
"SLM:000393678","lipid",19.31857319,1.176028475
"SLM:000035988","lipid",19.33893623,0.790114509
"SLM:000067917","lipid",19.3390032,0.79006288
"SLM:000500350","lipid",19.41688796,0.634527915
"SLM:000067849","lipid",19.29422723,1.48216569
"SLM:000393372","lipid",19.3468084,0.404654931
"SLM:000067966","lipid",19.3397396,0.790089727
"SLM:000074016","lipid",19.34101029,2.942923461
"SLM:000063730","lipid",19.20047136,3.088004124
"SLM:000013556","lipid",19.42356184,1.632677618
"SLM:000508861","lipid",19.31788958,2.144733343
"SLM:000093300","lipid",19.42362343,1.631877635
